         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT      SUB_INST_IN     SUB_INST_OUT     SUB_DELAY_IN    SUB_DELAY_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1            1.0            1.0              0.0              0.0              0.0      30000.03269          30000.0              0.0              0.0              0.0              0.0              0.0      0.0326933   1.0897766E-4
  NaN                   2     1     28.6374366     29.6374366       7830.31193              0.0              0.0      29987.73744          30000.0          30000.0      12029.97715              0.0      10127.39674              0.0      0.0516207   8.6052048E-5
  NaN                   2     2     37.2286675     66.8661041       7834.45759              0.0              0.0      29947.89791          30000.0          30000.0      10694.36775              0.0      11419.05851              0.0      0.0140635   2.3459601E-5
  NaN                   2     3     48.3972678      115.26337       7888.08258              0.0              0.0      29867.77496          30000.0          30000.0      11336.90412              0.0      10642.75848              0.0      0.0297781   4.9739751E-5
  NaN                   2     4     62.9164481      178.17982       7273.68058              0.0              0.0      29743.32581          30000.0          30000.0      12981.01178    4.6257904E-13       9488.62885              0.0      0.0045973   7.6950606E-6
  NaN                   2     5     81.7913826      259.97120       6379.54536              0.0              0.0      29582.00298          30000.0          30000.0      13859.85516    4.3144392E-12       9342.60656              0.0      0.0041096   6.8974059E-6
  NaN                   2     6      106.32880      366.30000       5952.47261              0.0              0.0      29392.40408          30000.0          30000.0      12999.28109    3.5583003E-12      10440.67186              0.0      0.0214846   3.6174035E-5
  NaN                   3     1     28.6374366      394.93744       5847.97830              0.0              0.0      29343.01789          30000.0          30000.0      12698.71840    2.0627433E-11      10796.32142              0.0   2.2451433E-4   3.7833318E-7
  NaN                   3     2     37.2286675      432.16610       5757.57677              0.0              0.0      29281.81191          30000.0          30000.0      12324.13380    1.8078167E-11      11200.10137              0.0   3.8142090E-5   6.4340291E-8
  NaN                   3     3     48.3972678      480.56337       5668.95468              0.0              0.0      29206.96659          30000.0          30000.0      11795.02592    1.7345269E-11      11742.98613              0.0   1.4613029E-4   2.4681266E-7
  NaN                   3     4     62.9164481      543.47982       5614.19218              0.0              0.0      29116.09618          30000.0          30000.0      11128.62137    7.9216661E-12      12373.28008              0.0      0.0025539   4.3201685E-6
  NaN                   3     5     81.7913826      625.27120       5534.15271              0.0              0.0      29007.15253          30000.0          30000.0      10440.45962    7.8505001E-12      13032.53861              0.0      0.0015937   2.7008925E-6
  NaN                   3     6      106.32880      731.60000       5469.95199              0.0              0.0      28877.00656          30000.0          30000.0       9674.66686    5.8164525E-12      13732.36673              0.0      0.0209769   3.5628325E-5
  NaN                   4     1     28.6374366      760.23744       5437.44181              0.0              0.0      28842.85538          30000.0          30000.0       9478.75375    3.5375492E-11      13926.69586              0.0      0.0360459   6.1257891E-5
  NaN                   4     2     37.2286675      797.46610       5418.06410              0.0              0.0      28799.68322          30000.0          30000.0       9246.20915    2.3825314E-11      14135.40948    9.1736747E-14   4.9687196E-4   8.4502489E-7
  NaN                   4     3     48.3972678      845.86337       5397.03450              0.0              0.0      28745.30154          30000.0          30000.0       8954.38453    1.5978131E-11      14393.88133    2.4922376E-14      0.0011762   2.0021752E-6
  NaN                   4     4     62.9164481      908.77982       5367.36540              0.0              0.0      28677.22008          30000.0          30000.0       8654.10698    1.0133372E-11      14655.74687              0.0   8.2751721E-4   1.4102870E-6
  NaN                   4     5     81.7913826      990.57120       5324.15531              0.0        0.7640278      28593.32380          30000.0          30000.0       8312.29236    1.1542237E-11      14956.10024              0.0      0.0118620   2.0244548E-5
  NaN                   4     6      106.32880         1096.9       5275.28309              0.0        2.8511562      28490.54697          30000.0          30000.0       7931.76875    1.1658566E-11      15280.62924              0.0      0.0147298   2.5183191E-5
  NaN                   5     1     28.6374366     1125.53744       5255.42084              0.0        3.3825266      28463.26377          30000.0          30000.0       7812.58391    4.5069909E-11      15391.90875    1.7368096E-13      0.0322498   5.5162564E-5
  NaN                   5     2     37.2286675     1162.76610       5242.44792              0.0        4.0587243      28428.29175          30000.0          30000.0       7706.96148    4.1616430E-11      15474.82544              0.0      0.0018118   3.1008328E-6
  NaN                   5     3     48.3972678     1211.16337       5222.71796              0.0        4.9325443      28383.65673          30000.0          30000.0       7563.17539    2.0518814E-11      15592.83150              0.0   6.7149002E-4   1.1501335E-6
  NaN                   5     4     62.9164481     1274.07982       5194.83414              0.0        6.0669643      28326.88415          30000.0          30000.0       7386.08700    1.7737015E-11      15739.87571              0.0      0.0203482   3.4886421E-5
  NaN                   5     5     81.7913826     1355.87120       5162.75077              0.0        7.5398217      28254.87280          30000.0          30000.0       7192.41806    1.7716444E-11      15892.14907    8.6162061E-15      0.0150823   2.5890245E-5
  NaN                   5     6      106.32880     1462.20000       5118.67498              0.0        9.4468601      28163.90807          30000.0          30000.0       6970.29556    7.1593687E-12      16065.48417              0.0      0.0064943   1.1165498E-5
  NaN                   6     1     28.6374366     1490.83744       5103.82364              0.0        9.9592357      28139.62110          30000.0          30000.0       6897.00341    3.6133737E-11      16128.83935              0.0      0.0045299   7.7913827E-6
